-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2024 in LST
Location: latitude  13.1799   longitude 79.7856 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,RH2M,WS10M,PRECTOTCORR
2023,1,1,5.3508,5.5006,1.8223,0.66,24.36,80.51,2.13,0.0
2023,1,2,4.9711,4.0697,2.2198,0.61,24.74,76.93,3.08,0.0
2023,1,3,4.4184,2.9978,2.2949,0.54,24.67,77.4,3.53,0.01
2023,1,4,4.7314,3.7183,2.2212,0.58,24.68,77.54,4.14,0.0
2023,1,5,4.4894,2.9952,2.3297,0.55,24.6,74.79,5.25,0.01
2023,1,6,3.3984,1.1986,2.1072,0.41,24.69,77.4,5.82,0.01
2023,1,7,3.4476,1.3771,1.9942,0.42,24.44,80.41,5.02,0.21
2023,1,8,4.7544,3.4838,2.3254,0.58,23.99,78.94,4.41,0.21
2023,1,9,5.5901,5.9458,1.7419,0.68,22.92,72.99,4.36,0.0
2023,1,10,5.5332,5.8769,1.7623,0.67,23.08,75.06,4.21,0.07
2023,1,11,5.6376,6.1699,1.7198,0.68,23.16,76.15,3.27,0.0
2023,1,12,5.8865,7.248,1.2533,0.71,23.24,74.67,2.24,0.0
2023,1,13,5.4094,5.0362,2.1794,0.65,23.15,75.4,2.06,0.0
2023,1,14,5.7547,6.1639,1.8348,0.69,22.67,74.14,2.25,0.0
2023,1,15,5.8858,6.7034,1.6445,0.7,22.54,75.5,2.18,0.0
2023,1,16,6.1476,7.9296,1.1645,0.73,22.55,74.95,2.79,0.0
2023,1,17,5.9458,6.4742,1.757,0.71,23.2,73.37,2.55,0.0
